"time","T","der(T)","T_out"
762,19.80173751950191,-0.005704627188752198,14.09711033074971
763,19.79602492830843,-0.005720353030461461,14.07567189784697
764,19.79029663406448,-0.005736045589083776,14.0542510449807
765,19.78455267127846,-0.005751704491718778,14.03284817955968
766,19.77879307489123,-0.005767329366240644,14.01146370865058
767,19.77301788027676,-0.005782919841306555,13.9900980389702
768,19.76722712324286,-0.005798475546365094,13.96875157687777
769,19.76142084003188,-0.005813996111664672,13.94742472836721
770,19.75559906732133,-0.00582948116826195,13.92611789905938
771,19.74976184222462,-0.005844930348030205,13.90483149419442
772,19.74390920229177,-0.005860343283667787,13.88356591862398
773,19.73804118551003,-0.005875719608706438,13.8623215768036
774,19.73215783030463,-0.005891058957519712,13.84109887278491
775,19.72625917553941,-0.005906360965331354,13.81989821020806
776,19.72034526051758,-0.005921625268223638,13.79871999229394
777,19.71441612498233,-0.005936851503145728,13.7775646218366
778,19.7084718091176,-0.005952039307922069,13.75643250119553
779,19.70251235354867,-0.005967188321260657,13.73532403228801
780,19.69653779934295,-0.005982298182761433,13.71423961658152
781,19.69054818801059,-0.005997368532924562,13.69317965508603
782,19.68454344373699,-0.006012398895390572,13.67214454834642
783,19.6785235725086,-0.006027388876073737,13.65113469643487
784,19.67248873011351,-0.006042338231170319,13.63015049894319
785,19.66643895667741,-0.006057246601702099,13.60919235497532
786,19.66037429264108,-0.006072113629501464,13.58826066313962
787,19.65429477875872,-0.00608693895721733,13.56735582154139
788,19.64820045609629,-0.006101722228321037,13.54647822777525
789,19.64209136602981,-0.006116463087112219,13.52562827891759
790,19.63596755024372,-0.00613116117872473,13.50480637151899
791,19.62982905072919,-0.006145816149132459,13.48401290159673
792,19.62367590978246,-0.006160427645155238,13.46324826462722
793,19.61750817000314,-0.006174995314464657,13.44251285553849
794,19.6113258742926,-0.006189518805589934,13.42180706870267
795,19.60512906585222,-0.006203997767923717,13.40113129792851
796,19.59891778818178,-0.006218431851727916,13.38048593645386
797,19.59269208507775,-0.006232820708139513,13.35987137693823
798,19.58645200063164,-0.00624716398917635,13.33928801145529
799,19.58019757922833,-0.006261461347742927,13.3187362314854
800,19.57392886554437,-0.00627571243763615,13.29821642790822
801,19.56764590454635,-0.006289916913551121,13.27772899099523
802,19.56134874148919,-0.006304074431086887,13.2572743104023
803,19.55503742191451,-0.006318184646752162,13.23685277516234
